ano,mes,classe_orcamentaria,subclasse,equipamento,centro_custo,valor
2025,Jun,Operacional,Pneus,GERAL,CC-422,39997.03
2025,Jul,Operacional,Pneus,GERAL,CC-422,79229.08
2025,Ago,Operacional,Pneus,GERAL,CC-422,68056.92
2025,Set,Operacional,Pneus,GERAL,CC-422,79312.31
2025,Out,Operacional,Pneus,GERAL,CC-422,79477.99
2025,Nov,Operacional,Pneus,GERAL,CC-422,79477.99
2025,Dez,Operacional,Pneus,GERAL,CC-422,79477.99
2025,Jan,Operacional,Embalagens,GERAL,CC-422,7
2025,Fev,Operacional,Embalagens,GERAL,CC-422,3.5
2025,Mar,Operacional,Embalagens,GERAL,CC-422,3.5
2025,Abr,Operacional,Embalagens,GERAL,CC-422,33.9
2025,Out,Operacional,Embalagens,GERAL,CC-422,5.32
2025,Nov,Operacional,Embalagens,GERAL,CC-422,5.32
2025,Dez,Operacional,Embalagens,GERAL,CC-422,5.32
2025,Mar,Operacional,Limpeza e Conservação,GERAL,CC-422,49.5
2025,Mai,Operacional,Limpeza e Conservação,GERAL,CC-422,960.12
2025,Jun,Operacional,Limpeza e Conservação,GERAL,CC-422,480.06
2025,Jul,Operacional,Limpeza e Conservação,GERAL,CC-422,1440.19
2025,Ago,Operacional,Limpeza e Conservação,GERAL,CC-422,960.12
2025,Set,Operacional,Limpeza e Conservação,GERAL,CC-422,11.75
2025,Out,Operacional,Limpeza e Conservação,GERAL,CC-422,433.53
2025,Nov,Operacional,Limpeza e Conservação,GERAL,CC-422,433.53
2025,Dez,Operacional,Limpeza e Conservação,GERAL,CC-422,433.53
2025,Jan,Operacional,Ferramentas,GERAL,CC-422,3045.31
2025,Fev,Operacional,Ferramentas,GERAL,CC-422,3769.32
2025,Mar,Operacional,Ferramentas,GERAL,CC-422,5947.42
2025,Abr,Operacional,Ferramentas,GERAL,CC-422,2541.78
2025,Mai,Operacional,Ferramentas,GERAL,CC-422,4124.71
2025,Jun,Operacional,Ferramentas,GERAL,CC-422,4866.46
2025,Jul,Operacional,Ferramentas,GERAL,CC-422,2631.16
2025,Ago,Operacional,Ferramentas,GERAL,CC-422,2461.83
2025,Set,Operacional,Ferramentas,GERAL,CC-422,9630
2025,Out,Operacional,Ferramentas,GERAL,CC-422,4335.33
2025,Nov,Operacional,Ferramentas,GERAL,CC-422,4335.33
2025,Dez,Operacional,Ferramentas,GERAL,CC-422,4335.33
2025,Jan,Operacional,Energia Elétrica,GERAL,CC-422,6627.43
2025,Fev,Operacional,Energia Elétrica,GERAL,CC-422,6249.84
2025,Mar,Operacional,Energia Elétrica,GERAL,CC-422,5984.63
2025,Abr,Operacional,Energia Elétrica,GERAL,CC-422,6957.02
2025,Mai,Operacional,Energia Elétrica,GERAL,CC-422,8110.2
2025,Jul,Operacional,Energia Elétrica,GERAL,CC-422,1076.01
2025,Ago,Operacional,Energia Elétrica,GERAL,CC-422,302.46
2025,Set,Operacional,Energia Elétrica,GERAL,CC-422,1108.55
2025,Out,Operacional,Energia Elétrica,GERAL,CC-422,4046.24
2025,Nov,Operacional,Energia Elétrica,GERAL,CC-422,4046.24
2025,Dez,Operacional,Energia Elétrica,GERAL,CC-422,4046.24
2025,Jan,Operacional,Comunicações,GERAL,CC-422,2.67
2025,Fev,Operacional,Comunicações,GERAL,CC-422,5148.81
2025,Mar,Operacional,Comunicações,GERAL,CC-422,734.8
2025,Abr,Operacional,Comunicações,GERAL,CC-422,1598.49
2025,Mai,Operacional,Comunicações,GERAL,CC-422,1922.35
2025,Jun,Operacional,Comunicações,GERAL,CC-422,703.9
2025,Jul,Operacional,Comunicações,GERAL,CC-422,2200.41
2025,Ago,Operacional,Comunicações,GERAL,CC-422,1909.41
2025,Set,Operacional,Comunicações,GERAL,CC-422,3677.58
2025,Out,Operacional,Comunicações,GERAL,CC-422,1988.71
2025,Nov,Operacional,Comunicações,GERAL,CC-422,1988.71
2025,Dez,Operacional,Comunicações,GERAL,CC-422,1988.71
2025,Jun,Operacional,Exames e Análises,GERAL,CC-422,11500
2025,Out,Operacional,Exames e Análises,GERAL,CC-422,1277.78
2025,Nov,Operacional,Exames e Análises,GERAL,CC-422,1277.78
2025,Dez,Operacional,Exames e Análises,GERAL,CC-422,1277.78
2025,Fev,Operacional,Insumos Laboratoriais,GERAL,CC-422,135.5
2025,Jun,Operacional,Insumos Laboratoriais,GERAL,CC-422,58
2025,Set,Operacional,Insumos Laboratoriais,GERAL,CC-422,200
2025,Out,Operacional,Insumos Laboratoriais,GERAL,CC-422,43.72
2025,Nov,Operacional,Insumos Laboratoriais,GERAL,CC-422,43.72
2025,Dez,Operacional,Insumos Laboratoriais,GERAL,CC-422,43.72
2025,Jan,Tecnologia,Software,GERAL,CC-422,18674
2025,Fev,Tecnologia,Software,GERAL,CC-422,28674
2025,Mar,Tecnologia,Software,GERAL,CC-422,28674
2025,Abr,Tecnologia,Software,GERAL,CC-422,18674
2025,Mai,Tecnologia,Software,GERAL,CC-422,33674
2025,Jun,Tecnologia,Software,GERAL,CC-422,28674
2025,Jul,Tecnologia,Software,GERAL,CC-422,28674
2025,Ago,Tecnologia,Software,GERAL,CC-422,28674
2025,Set,Tecnologia,Software,GERAL,CC-422,28674
2025,Out,Tecnologia,Software,GERAL,CC-422,27007.33
2025,Nov,Tecnologia,Software,GERAL,CC-422,27007.33
2025,Dez,Tecnologia,Software,GERAL,CC-422,27007.33
2025,Jan,Operacional,Fretes e Carretos,GERAL,CC-422,1201.97
2025,Fev,Operacional,Fretes e Carretos,GERAL,CC-422,5991.27
2025,Mar,Operacional,Fretes e Carretos,GERAL,CC-422,489.5
2025,Abr,Operacional,Fretes e Carretos,GERAL,CC-422,11463.02
2025,Mai,Operacional,Fretes e Carretos,GERAL,CC-422,906.11
2025,Jun,Operacional,Fretes e Carretos,GERAL,CC-422,1029.74
2025,Jul,Operacional,Fretes e Carretos,GERAL,CC-422,285.02
2025,Ago,Operacional,Fretes e Carretos,GERAL,CC-422,1577.77
2025,Set,Operacional,Fretes e Carretos,GERAL,CC-422,2289.04
2025,Out,Operacional,Fretes e Carretos,GERAL,CC-422,2803.72
2025,Nov,Operacional,Fretes e Carretos,GERAL,CC-422,2803.72
2025,Dez,Operacional,Fretes e Carretos,GERAL,CC-422,2803.72
2025,Jan,Operacional,Viagens,GERAL,CC-422,3033.21
2025,Fev,Operacional,Viagens,GERAL,CC-422,199.46
2025,Mar,Operacional,Viagens,GERAL,CC-422,4293.17
2025,Abr,Operacional,Viagens,GERAL,CC-422,519.6
2025,Mai,Operacional,Viagens,GERAL,CC-422,385.5
2025,Jun,Operacional,Viagens,GERAL,CC-422,14311.84
2025,Jul,Operacional,Viagens,GERAL,CC-422,150.75
2025,Ago,Operacional,Viagens,GERAL,CC-422,117.9
2025,Set,Operacional,Viagens,GERAL,CC-422,1418.75
2025,Out,Operacional,Viagens,GERAL,CC-422,2714.46
2025,Nov,Operacional,Viagens,GERAL,CC-422,2714.46
2025,Dez,Operacional,Viagens,GERAL,CC-422,2714.46
2025,Jan,Tecnologia,Material de Escritório,GERAL,CC-422,304.36
2025,Fev,Tecnologia,Material de Escritório,GERAL,CC-422,171.76
2025,Mar,Tecnologia,Material de Escritório,GERAL,CC-422,1415.63
2025,Abr,Tecnologia,Material de Escritório,GERAL,CC-422,1743.63
2025,Mai,Tecnologia,Material de Escritório,GERAL,CC-422,1797.41
2025,Jun,Tecnologia,Material de Escritório,GERAL,CC-422,727.93
2025,Jul,Tecnologia,Material de Escritório,GERAL,CC-422,1440.38
2025,Ago,Tecnologia,Material de Escritório,GERAL,CC-422,1554.65
2025,Set,Tecnologia,Material de Escritório,GERAL,CC-422,1032.16
2025,Out,Tecnologia,Material de Escritório,GERAL,CC-422,1131.99
2025,Nov,Tecnologia,Material de Escritório,GERAL,CC-422,1131.99
2025,Dez,Tecnologia,Material de Escritório,GERAL,CC-422,1131.99
2025,Jan,Operacional,Material de Limpeza,GERAL,CC-422,1699.11
2025,Fev,Operacional,Material de Limpeza,GERAL,CC-422,1189.61
2025,Mar,Operacional,Material de Limpeza,GERAL,CC-422,2679.18
2025,Abr,Operacional,Material de Limpeza,GERAL,CC-422,2480.23
2025,Mai,Operacional,Material de Limpeza,GERAL,CC-422,1446.62
2025,Jun,Operacional,Material de Limpeza,GERAL,CC-422,1685.77
2025,Jul,Operacional,Material de Limpeza,GERAL,CC-422,2526.65
2025,Ago,Operacional,Material de Limpeza,GERAL,CC-422,2016.92
2025,Set,Operacional,Material de Limpeza,GERAL,CC-422,2437.59
2025,Out,Operacional,Material de Limpeza,GERAL,CC-422,2017.96
2025,Nov,Operacional,Material de Limpeza,GERAL,CC-422,2017.96
2025,Dez,Operacional,Material de Limpeza,GERAL,CC-422,2017.96
2025,Jan,Operacional,Lanches e Refeições,GERAL,CC-422,14344.99
2025,Fev,Operacional,Lanches e Refeições,GERAL,CC-422,16357.38
2025,Mar,Operacional,Lanches e Refeições,GERAL,CC-422,15612.88
2025,Abr,Operacional,Lanches e Refeições,GERAL,CC-422,17716.49
2025,Mai,Operacional,Lanches e Refeições,GERAL,CC-422,16524.16
2025,Jun,Operacional,Lanches e Refeições,GERAL,CC-422,19003.55
2025,Jul,Operacional,Lanches e Refeições,GERAL,CC-422,19497.68
2025,Ago,Operacional,Lanches e Refeições,GERAL,CC-422,20825.67
2025,Set,Operacional,Lanches e Refeições,GERAL,CC-422,20808.71
2025,Out,Operacional,Lanches e Refeições,GERAL,CC-422,17854.61
2025,Nov,Operacional,Lanches e Refeições,GERAL,CC-422,17854.61
2025,Dez,Operacional,Lanches e Refeições,GERAL,CC-422,17854.61
2025,Mai,Operacional,Custas Cartoriais,GERAL,CC-422,106.3
2025,Out,Operacional,Custas Cartoriais,GERAL,CC-422,11.81
2025,Nov,Operacional,Custas Cartoriais,GERAL,CC-422,11.81
2025,Dez,Operacional,Custas Cartoriais,GERAL,CC-422,11.81
2025,Jan,Operacional,Taxas,GERAL,CC-422,6623.48
2025,Out,Operacional,Taxas,GERAL,CC-422,735.94
2025,Nov,Operacional,Taxas,GERAL,CC-422,735.94
2025,Dez,Operacional,Taxas,GERAL,CC-422,735.94
2025,Jan,Operacional,Assessoria Jurídica,GERAL,CC-422,7500
2025,Fev,Operacional,Assessoria Jurídica,GERAL,CC-422,7500
2025,Mar,Operacional,Assessoria Jurídica,GERAL,CC-422,7500
