data,equipamento,produto,quantidade,valorUnitario,valorTotal,fornecedor
2025-03-20 00:00:00,PTA-001,"LOCACAO DE MAQUINAS E EQUIPAME",1,15000,15000,"THIAGO TEIXEIRA VINHAL - SERVICOS"
2025-04-17 00:00:00,PTA-001,"LOCACAO DE MAQUINAS E EQUIPAME",1,15000,15000,"THIAGO TEIXEIRA VINHAL - SERVICOS"
2025-02-24 00:00:00,TE-06,"SERVICOS DE MANUTENCAO EM MAQU",1,14955.03,14955.03,"SOTREQ S/A"
2025-01-07 00:00:00,EH-17,"ACOPLAMENTO CAT 513-3732",1,14954.34,14954.34,"SOTREQ S/A"
2025-04-30 00:00:00,MN-01,"SERVICO DE RECAPAGEM",4,3720.75,14883,"RECAPAGEM ALTEROSA LTDA"
2025-10-16 00:00:00,TE-06,"SERVICOS DE MANUTENCAO EM MAQU",1,14849.32,14849.32,"SOTREQ S/A"
2025-07-17 00:00:00,PC-01,"SERVICOS DE MANUTENCAO EM MAQU",1,14690.12,14690.12,"SOTREQ S/A"
2025-08-25 00:00:00,MN-01,"SERVICOS DE MANUTENCAO EM MAQU",1,14640.7,14640.7,"SOTREQ S/A"
2025-03-24 00:00:00,TE-06,"SERVICOS DE MANUTENCAO EM MAQU",1,14426.32,14426.32,"SOTREQ S/A"
2025-09-02 00:00:00,PC-01,"SERVICOS DE MANUTENCAO EM MAQU",1,14248.96,14248.96,"SOTREQ S/A"
2025-05-16 00:00:00,PC-01,"SERVICOS DE MANUTENCAO EM MAQU",1,14180.42,14180.42,"SOTREQ S/A"
2025-05-19 00:00:00,PC-01,"SERVICOS DE MANUTENCAO EM MAQU",1,14180.42,14180.42,"SOTREQ S/A"
2025-05-07 00:00:00,BM-03,"MOTOR VEDAPRESS N83225597",2,7032.35,14064.7,"BRAIANN.ARAGAO"
2025-01-22 00:00:00,EH-17,"SERVICOS DE MANUTENCAO EM MAQU",3,4685.12,14055.36,"VEDAPRESS SERVICOS HIDRAULICOS LTDA"
2025-10-13 00:00:00,TE-04,"SERVICOS DE MANUTENCAO EM MAQU",1,13973.88,13973.88,"SOTREQ S/A"
2025-10-14 00:00:00,PC-01,"SERVICOS DE MANUTENCAO EM MAQU",1,13938.72,13938.72,"SOTREQ S/A"
2025-10-17 00:00:00,PC-01,"SERVICOS DE RECAPAGEM E REFORM",1,13860,13860,"RECAPAGEM ALTEROSA LTDA"
2025-05-07 00:00:00,BM-03,"RETENTOR PTTECH PAT2040002003",1,13667.87,13667.87,"KAIQUE.ALVES"
2025-04-04 00:00:00,PV-01,"MOLA DE COMPRESSAO HELICOIDAL",16,852.7125,13643.4,"SIMPLEX EQUIPAMENTOS LTDA"
2025-11-17 00:00:00,BM-01,"CORREIA TRANSPORTADORA 48",31,439.92,13637.52,"BRAIANN.ARAGAO"
2025-11-12 00:00:00,BM-04,"CORREIA TRANSPORTADORA 46",26,518.160576,13472.174976,"VANESSA.ALVES"
2025-02-21 00:00:00,PM-02,"CORREIA TRANSPORTADORA 48 X 3",19,707.2968421052632,13438.64,"LUIZ.SANTOS"
2025-02-26 00:00:00,CB-02,"VALVULA MERCEDES A9304300087",1,13344.375,13344.375,"KAIQUE.ALVES"
2025-02-21 00:00:00,CB-08,"VALVULA MERCEDES A9304300087",1,13344.375,13344.375,"KAIQUE.ALVES"
